regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	dataSource
61605,_Peoria,_Illinois,_Illinois	61605, Peoria, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		13		448	http://www.dph.illinois.gov/
61614,_Peoria,_Illinois,_Illinois	61614, Peoria, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		43		687	http://www.dph.illinois.gov/
61701,_Bloomington,_Illinois,_Illinois	61701, Bloomington, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		38		1045	http://www.dph.illinois.gov/
61801,_Urbana,_Illinois,_Illinois	61801, Urbana, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		25		561	http://www.dph.illinois.gov/
61820,_Champaign,_Illinois,_Illinois	61820, Champaign, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		46		647	http://www.dph.illinois.gov/
61821,_Champaign,_Illinois,_Illinois	61821, Champaign, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		45		899	http://www.dph.illinois.gov/
62201,_East_St._Louis,_Illinois,_Illinois	62201, East St. Louis, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		12		60	http://www.dph.illinois.gov/
62301,_Quincy,_Illinois,_Illinois	62301, Quincy, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		20		757	http://www.dph.illinois.gov/
62702,_Springfield,_Illinois,_Illinois	62702, Springfield, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		55		1059	http://www.dph.illinois.gov/
62703,_Springfield,_Illinois,_Illinois	62703, Springfield, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		49		896	http://www.dph.illinois.gov/
62704,_Springfield,_Illinois,_Illinois	62704, Springfield, Illinois, Illinois	2020-05-13	2020-05-13T05:00:00		33		981	http://www.dph.illinois.gov/
73003,_Edmond,_Oklahoma,_Oklahoma	73003, Edmond, Oklahoma, Oklahoma	2020-05-13		1	14	13		https://www.southernnevadahealthdistrict.org/
73026,_Norman,_Oklahoma,_Oklahoma	73026, Norman, Oklahoma, Oklahoma	2020-05-13		1	12	9		https://www.southernnevadahealthdistrict.org/
73050,_Langston,_Oklahoma,_Oklahoma	73050, Langston, Oklahoma, Oklahoma	2020-05-13			1	1		https://www.southernnevadahealthdistrict.org/
73069,_Norman,_Oklahoma,_Oklahoma	73069, Norman, Oklahoma, Oklahoma	2020-05-13		4	37	30		https://www.southernnevadahealthdistrict.org/
73071,_Norman,_Oklahoma,_Oklahoma	73071, Norman, Oklahoma, Oklahoma	2020-05-13		2	52	46		https://www.southernnevadahealthdistrict.org/
73102,_Oklahoma_City,_Oklahoma	73102, Oklahoma City, Oklahoma	2020-05-13			2	1		https://www.southernnevadahealthdistrict.org/
73103,_Oklahoma_City,_Oklahoma	73103, Oklahoma City, Oklahoma	2020-05-13			12	11		https://www.southernnevadahealthdistrict.org/
73104,_Oklahoma_City,_Oklahoma	73104, Oklahoma City, Oklahoma	2020-05-13			3	1		https://www.southernnevadahealthdistrict.org/
73105,_Oklahoma_City,_Oklahoma	73105, Oklahoma City, Oklahoma	2020-05-13			1	1		https://www.southernnevadahealthdistrict.org/
73106,_Oklahoma_City,_Oklahoma	73106, Oklahoma City, Oklahoma	2020-05-13			10	4		https://www.southernnevadahealthdistrict.org/
73107,_Oklahoma_City,_Oklahoma	73107, Oklahoma City, Oklahoma	2020-05-13			51	36		https://www.southernnevadahealthdistrict.org/
73108,_Oklahoma_City,_Oklahoma	73108, Oklahoma City, Oklahoma	2020-05-13			12	9		https://www.southernnevadahealthdistrict.org/
73109,_Oklahoma_City,_Oklahoma	73109, Oklahoma City, Oklahoma	2020-05-13		1	13	10		https://www.southernnevadahealthdistrict.org/
73111,_Oklahoma_City,_Oklahoma	73111, Oklahoma City, Oklahoma	2020-05-13		2	17	12		https://www.southernnevadahealthdistrict.org/
73112,_Oklahoma_City,_Oklahoma	73112, Oklahoma City, Oklahoma	2020-05-13		4	62	50		https://www.southernnevadahealthdistrict.org/
73114,_Oklahoma_City,_Oklahoma	73114, Oklahoma City, Oklahoma	2020-05-13			19	15		https://www.southernnevadahealthdistrict.org/
73117,_Oklahoma_City,_Oklahoma	73117, Oklahoma City, Oklahoma	2020-05-13			7	4		https://www.southernnevadahealthdistrict.org/
73118,_Oklahoma_City,_Oklahoma	73118, Oklahoma City, Oklahoma	2020-05-13			14	13		https://www.southernnevadahealthdistrict.org/
73119,_Oklahoma_City,_Oklahoma	73119, Oklahoma City, Oklahoma	2020-05-13		5	59	42		https://www.southernnevadahealthdistrict.org/
73120,_Oklahoma_City,_Oklahoma	73120, Oklahoma City, Oklahoma	2020-05-13		4	60	40		https://www.southernnevadahealthdistrict.org/
73121,_Oklahoma_City,_Oklahoma	73121, Oklahoma City, Oklahoma	2020-05-13			2	1		https://www.southernnevadahealthdistrict.org/
73122,_Oklahoma_City,_Oklahoma	73122, Oklahoma City, Oklahoma	2020-05-13			29	13		https://www.southernnevadahealthdistrict.org/
73127,_Oklahoma_City,_Oklahoma	73127, Oklahoma City, Oklahoma	2020-05-13			24	16		https://www.southernnevadahealthdistrict.org/
73128,_Oklahoma_City,_Oklahoma	73128, Oklahoma City, Oklahoma	2020-05-13			6	5		https://www.southernnevadahealthdistrict.org/
73129,_Oklahoma_City,_Oklahoma	73129, Oklahoma City, Oklahoma	2020-05-13			21	17		https://www.southernnevadahealthdistrict.org/
73131,_Oklahoma_City,_Oklahoma	73131, Oklahoma City, Oklahoma	2020-05-13			5	4		https://www.southernnevadahealthdistrict.org/
73132,_Oklahoma_City,_Oklahoma	73132, Oklahoma City, Oklahoma	2020-05-13			30	22		https://www.southernnevadahealthdistrict.org/
73134,_Oklahoma_City,_Oklahoma	73134, Oklahoma City, Oklahoma	2020-05-13		1	12	7		https://www.southernnevadahealthdistrict.org/
73135,_Oklahoma_City,_Oklahoma	73135, Oklahoma City, Oklahoma	2020-05-13		2	17	11		https://www.southernnevadahealthdistrict.org/
73139,_Oklahoma_City,_Oklahoma	73139, Oklahoma City, Oklahoma	2020-05-13		2	26	19		https://www.southernnevadahealthdistrict.org/
73142,_Oklahoma_City,_Oklahoma	73142, Oklahoma City, Oklahoma	2020-05-13		1	34	27		https://www.southernnevadahealthdistrict.org/
73149,_Oklahoma_City,_Oklahoma	73149, Oklahoma City, Oklahoma	2020-05-13			6	5		https://www.southernnevadahealthdistrict.org/
73150,_Oklahoma_City,_Oklahoma	73150, Oklahoma City, Oklahoma	2020-05-13			4	4		https://www.southernnevadahealthdistrict.org/
73151,_Oklahoma_City,_Oklahoma	73151, Oklahoma City, Oklahoma	2020-05-13			2	2		https://www.southernnevadahealthdistrict.org/
73159,_Oklahoma_City,_Oklahoma	73159, Oklahoma City, Oklahoma	2020-05-13		1	19	13		https://www.southernnevadahealthdistrict.org/
73162,_Oklahoma_City,_Oklahoma	73162, Oklahoma City, Oklahoma	2020-05-13		2	31	28		https://www.southernnevadahealthdistrict.org/
73165,_Oklahoma_City,_Oklahoma	73165, Oklahoma City, Oklahoma	2020-05-13		1	8	7		https://www.southernnevadahealthdistrict.org/
73169,_Oklahoma_City,_Oklahoma	73169, Oklahoma City, Oklahoma	2020-05-13			33	30		https://www.southernnevadahealthdistrict.org/
73170,_Oklahoma_City,_Oklahoma	73170, Oklahoma City, Oklahoma	2020-05-13		8	76	57		https://www.southernnevadahealthdistrict.org/
73173,_Oklahoma_City,_Oklahoma	73173, Oklahoma City, Oklahoma	2020-05-13			7	6		https://www.southernnevadahealthdistrict.org/
73179,_Oklahoma_City,_Oklahoma	73179, Oklahoma City, Oklahoma	2020-05-13			6	5		https://www.southernnevadahealthdistrict.org/
74012,_Broken_Arrow,_Oklahoma,_Oklahoma	74012, Broken Arrow, Oklahoma, Oklahoma	2020-05-13		8	64	48		https://www.southernnevadahealthdistrict.org/
74050,_Oakhurst,_Oklahoma,_Oklahoma	74050, Oakhurst, Oklahoma, Oklahoma	2020-05-13			1	1		https://www.southernnevadahealthdistrict.org/
74052,_Oilton,_Oklahoma,_Oklahoma	74052, Oilton, Oklahoma, Oklahoma	2020-05-13		1	1			https://www.southernnevadahealthdistrict.org/
74103,_Tulsa,_Oklahoma,_Oklahoma	74103, Tulsa, Oklahoma, Oklahoma	2020-05-13			3	2		https://www.southernnevadahealthdistrict.org/
74104,_Tulsa,_Oklahoma,_Oklahoma	74104, Tulsa, Oklahoma, Oklahoma	2020-05-13		1	10	8		https://www.southernnevadahealthdistrict.org/
74105,_Tulsa,_Oklahoma,_Oklahoma	74105, Tulsa, Oklahoma, Oklahoma	2020-05-13		2	29	25		https://www.southernnevadahealthdistrict.org/
74106,_Tulsa,_Oklahoma,_Oklahoma	74106, Tulsa, Oklahoma, Oklahoma	2020-05-13		2	23	20		https://www.southernnevadahealthdistrict.org/
74108,_Tulsa,_Oklahoma,_Oklahoma	74108, Tulsa, Oklahoma, Oklahoma	2020-05-13			5	5		https://www.southernnevadahealthdistrict.org/
